producttype_ID,iscanvas_ID,industry_ID,crtsize_ID,origindesturlhash_ID,corporationgrouplabelid_ID,checktype_ID
0.0,1.0,8.0,4.0,236.0,353.0,0.0
2.0,0.0,89.0,2.0,482.0,0.0,0.0
6.0,0.0,153.0,0.0,2.0,0.0,0.0
2.0,0.0,89.0,2.0,482.0,0.0,0.0
7.0,1.0,12.0,4.0,431.0,254.0,0.0
2.0,0.0,89.0,2.0,482.0,0.0,0.0
2.0,1.0,14.0,4.0,482.0,261.0,0.0
2.0,0.0,89.0,2.0,482.0,0.0,0.0
7.0,1.0,15.0,4.0,323.0,223.0,0.0
2.0,0.0,89.0,2.0,482.0,0.0,0.0
6.0,0.0,162.0,0.0,2.0,0.0,0.0
2.0,0.0,89.0,2.0,482.0,0.0,0.0
6.0,0.0,162.0,0.0,2.0,0.0,0.0
2.0,0.0,89.0,2.0,482.0,0.0,0.0
2.0,0.0,177.0,0.0,482.0,0.0,0.0
0.0,1.0,171.0,4.0,236.0,542.0,0.0
0.0,1.0,171.0,4.0,236.0,292.0,0.0
0.0,1.0,171.0,4.0,236.0,542.0,0.0
